Episode 3072, Reward: -32.06, Step: 19662
Episode 3073, Reward: -30.26, Step: 19671
Episode 3074, Reward: -36.54, Step: 19679
Episode 3075, Reward: -29.92, Step: 19691
Episode 3076, Reward: -30.27, Step: 19703
Episode 3077, Reward: -30.62, Step: 19713
Episode 3078, Reward: -34.01, Step: 19720
Episode 3079, Reward: -31.10, Step: 19726
Episode 3080, Reward: -33.95, Step: 19730
Episode 3081, Reward: -33.74, Step: 19735
Episode 3082, Reward: -33.03, Step: 19739
Episode 3083, Reward: -31.81, Step: 19744
Episode 3084, Reward: -36.12, Step: 19749
Episode 3085, Reward: -32.81, Step: 19755
Episode 3086, Reward: -35.23, Step: 19760
Episode 3087, Reward: -27.98, Step: 19775
Episode 3088, Reward: -33.11, Step: 19780
Episode 3089, Reward: -32.41, Step: 19785
Episode 3090, Reward: -36.70, Step: 19789
Episode 3091, Reward: -31.44, Step: 19794
Episode 3092, Reward: -33.04, Step: 19799
Episode 3093, Reward: -33.98, Step: 19804
Episode 3094, Reward: -32.76, Step: 19809
Episode 3095, Reward: -33.53, Step: 19813
Episode 3096, Reward: -32.94, Step: 19818
Episode 3097, Reward: -32.79, Step: 19824
Episode 3098, Reward: -34.89, Step: 19834
Episode 3099, Reward: -32.18, Step: 19839
Episode 3100, Reward: -33.02, Step: 19844
Episode 3101, Reward: -34.83, Step: 19849
Episode 3102, Reward: -35.68, Step: 19854
Episode 3103, Reward: -29.88, Step: 19863
Episode 3104, Reward: -33.45, Step: 19871
Episode 3105, Reward: -28.72, Step: 19880
Episode 3106, Reward: -35.37, Step: 19884
Episode 3107, Reward: -28.29, Step: 19898
Episode 3108, Reward: -31.78, Step: 19903
Episode 3109, Reward: -33.35, Step: 19908
Episode 3110, Reward: -34.20, Step: 19915
Episode 3111, Reward: -32.32, Step: 19921
Episode 3112, Reward: -30.55, Step: 19927
Episode 3113, Reward: -36.13, Step: 19934
Episode 3114, Reward: -33.60, Step: 19940
Episode 3115, Reward: -30.92, Step: 19946
Episode 3116, Reward: -29.98, Step: 19958
Episode 3117, Reward: -30.70, Step: 19965
Episode 3118, Reward: -31.72, Step: 19971
Episode 3119, Reward: -33.06, Step: 19977
Episode 3120, Reward: -34.91, Step: 19981
Episode 3121, Reward: -33.60, Step: 19985
Episode 3122, Reward: -33.39, Step: 19990
Episode 3123, Reward: -34.51, Step: 19995
Episode 3124, Reward: -35.95, Step: 20002
Episode 3125, Reward: -31.09, Step: 20009
Episode 3126, Reward: -32.70, Step: 20014
Episode 3127, Reward: -31.76, Step: 20019
Episode 3128, Reward: -34.18, Step: 20028
Episode 3129, Reward: -32.41, Step: 20033
Episode 3130, Reward: -33.40, Step: 20038
Episode 3131, Reward: -31.50, Step: 20044
Episode 3132, Reward: -42.47, Step: 20050
Episode 3133, Reward: -37.03, Step: 20057
Episode 3134, Reward: -34.20, Step: 20064
Episode 3135, Reward: -34.97, Step: 20071
Episode 3136, Reward: -30.10, Step: 20077
Episode 3137, Reward: -36.63, Step: 20085
Episode 3138, Reward: -36.48, Step: 20093
Episode 3139, Reward: -31.98, Step: 20101
Episode 3140, Reward: -30.98, Step: 20113
Episode 3141, Reward: -33.10, Step: 20118
Episode 3142, Reward: -35.93, Step: 20123
Episode 3143, Reward: -39.71, Step: 20129
Episode 3144, Reward: -30.86, Step: 20136
Episode 3145, Reward: -37.99, Step: 20141
Episode 3146, Reward: -34.26, Step: 20148
Episode 3147, Reward: -39.36, Step: 20154
Episode 3148, Reward: -34.50, Step: 20160
Episode 3149, Reward: -38.30, Step: 20165
Episode 3150, Reward: -36.45, Step: 20169
Episode 3151, Reward: -33.92, Step: 20176
Episode 3152, Reward: -33.64, Step: 20182
Episode 3153, Reward: -34.80, Step: 20186
Episode 3154, Reward: -37.14, Step: 20191
Episode 3155, Reward: -37.90, Step: 20197
Episode 3156, Reward: -34.09, Step: 20204
Episode 3157, Reward: -40.47, Step: 20209
Episode 3158, Reward: -35.00, Step: 20215
Episode 3159, Reward: -33.21, Step: 20221
Episode 3160, Reward: -36.93, Step: 20228
Episode 3161, Reward: -33.07, Step: 20234
Episode 3162, Reward: -31.61, Step: 20240
Episode 3163, Reward: -31.83, Step: 20245
