duration_ms,rot_hombro_der,ext_hombro_der,rot_codo_der,rot_hombro_izq,ext_hombro_izq,rot_codo_izq,cadera_lat_der,cadera_front_der,rodilla_der,tobillo_front_der,tobillo_lat_der,cadera_lat_izq,cadera_front_izq,rodilla_izq,tobillo_front_izq,tobillo_lat_izq
100,91,90,90,105,92,77,99,75,78,104,88,101,127,90,82,95
100,101,90,99,104,92,84,107,86,84,98,84,105,117,96,90,86
100,107,90,111,91,92,93,99,74,89,108,83,96,104,94,98,84
100,96,90,100,82,92,101,87,58,78,116,81,86,94,102,107,89
100,85,90,91,82,92,92,76,46,71,116,82,77,92,104,112,93
100,77,90,85,73,92,101,74,49,60,108,90,71,101,110,119,96
100,80,90,79,74,92,111,71,49,49,98,89,69,105,115,118,99
100,90,90,86,79,92,119,82,39,40,111,85,82,106,101,105,101
100,85,90,86,69,92,123,93,35,50,125,85,96,101,90,86,102
100,92,90,96,63,93,108,102,50,61,135,82,101,102,92,84,93
