step,time_ms,duration_ms,rot_hombro_der,ext_hombro_der,rot_codo_der,rot_hombro_izq,ext_hombro_izq,rot_codo_izq,cadera_lat_der,cadera_front_der,rodilla_der,tobillo_front_der,tobillo_lat_der,cadera_lat_izq,cadera_front_izq,rodilla_izq,tobillo_front_izq,tobillo_lat_izq
1,100,100,101,100,103,104,92,90,100,76,67,107,88,103,117,107,81,89
2,200,100,93,100,90,97,92,81,104,81,73,105,84,99,107,114,88,84
3,300,100,91,99,99,100,92,81,105,75,75,102,82,101,96,118,92,89
4,400,100,92,98,97,104,92,72,106,68,83,107,79,103,99,115,97,86
5,500,100,99,97,105,103,92,77,107,67,88,108,77,104,107,113,90,82
6,600,100,98,97,101,101,92,79,100,58,94,108,76,97,101,117,94,84
7,700,100,102,96,94,102,92,88,96,52,92,112,82,94,98,121,103,87
8,800,100,94,96,86,100,92,84,90,51,86,107,84,86,97,124,107,92
9,900,100,87,96,75,97,92,85,89,52,77,99,90,86,100,127,113,95
10,1000,100,97,96,67,99,96,79,98,48,64,110,90,97,104,115,100,89
